name,id,type,address,rating,price,ood_type,open_time,indoor,latitude,longitude,phone,photos,city
杭州西湖风景名胜区-断桥,B0FFFPPTEL,风景名胜;风景名胜;风景名胜,北山街与白堤交叉口,,,,,,30.258151,120.151347,,"['http://store.is.autonavi.com/showpic/69e9b2188cacb3f4eb1eacde29b7787e', 'https://store.is.autonavi.com/showpic/1DF9AECDBE2546E4841CB4D79F00BA42', 'http://aos-cdn-image.amap.com/sns/ugccomment/ea66e6b2-5ee3-402e-bd0c-9f130628ba70.jpg']",杭州
杭州奥体中心码头,B0FFKK6B26,风景名胜;风景名胜;风景名胜,闻涛路与飞虹路交叉口西120米,,,,,,30.229228,120.222606,,"['https://aos-comment.amap.com/B0FFKK6B26/comment/content_media_external_images_media_42112_ss__1742473547993_84207305.jpg', 'https://aos-comment.amap.com/B0FFKK6B26/comment/content_media_external_images_media_1000006709_ss__1742138727415_30960069.jpg', 'https://aos-comment.amap.com/B0FFKK6B26/comment/content_media_external_images_media_42108_ss__1742473548057_41717219.jpg']",杭州
钱江新城·森林公园,B023B07HMV,风景名胜;公园广场;公园,四季青街道五星路181号,,,,,,30.239734,120.210112,,"['http://store.is.autonavi.com/showpic/e918600437b4ad630c851ae885a9f99c', 'https://aos-comment.amap.com/B023B07HMV/comment/d7c83bc048634c0b06d651f174199e02_2048_2048_80.jpg', 'https://aos-comment.amap.com/B023B07HMV/comment/46733be6003682378abf0042e1bef02e_2048_2048_80.jpg']",杭州
杭州西湖风景名胜区-万松书院,B023B015D9,风景名胜;风景名胜;风景名胜,万松岭路81号,,,,,,30.226809,120.160498,,"['http://store.is.autonavi.com/showpic/72ddf152124586e0a6a8d9832daec4ef', 'http://store.is.autonavi.com/showpic/310e83a4df473480c1b8794b79b72631', 'http://store.is.autonavi.com/showpic/f774e710b3416334ec66b59b2600a630']",杭州
西湖游船-二公园码头,B0FFG03EXP,交通设施服务;港口码头;港口码头,湖滨路15号(龙翔桥地铁站C口步行320米),,,,,,30.252504,120.162016,,"['https://aos-comment.amap.com/B0FFG03EXP/comment/content_media_external_images_media_100007475_1726825083006_48092962.jpg', 'https://aos-comment.amap.com/B0FFG03EXP/comment/6e3ab2268d0c42300242c01cf55aeae1_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0FFG03EXP/comment/c61802ea3b34bba671d3f842322147bf_2048_2048_80.jpg']",杭州
太子湾公园,B023B02074,风景名胜;公园广场;公园,南星街道南山路1-1号,,,,,,30.22547,120.142177,,"['http://store.is.autonavi.com/showpic/b7fdcef220d9434e6b0dfee47340ecfe', 'http://store.is.autonavi.com/showpic/1e4bf80d2e34cd3e54a9428184bf4fde', 'http://store.is.autonavi.com/showpic/1a19a0a0afd7d36162a55bed820e7551']",杭州
西溪国家湿地公园,B023B06P06,风景名胜;风景名胜;国家级景点,天目山路518号,,,,,,30.255079,120.061159,,"['http://store.is.autonavi.com/showpic/ee8ba4fd213aa0ee5605e41415921500', 'http://store.is.autonavi.com/showpic/5723d86c8f567ebcbe763c66cb8258f6', 'http://store.is.autonavi.com/showpic/2c3a5afd0689d0c6761107aa8ca6618d']",杭州
浙江自然博物院,B023B15DKJ,科教文化服务;博物馆;博物馆,西湖文化广场6号,,,,,,30.276814,120.164581,,"['http://store.is.autonavi.com/showpic/fd5f152adebfc82a7f30b097677bb735', 'http://store.is.autonavi.com/showpic/551576707730d4e7cef9c69ba58082f6', 'http://store.is.autonavi.com/showpic/8e75f7a48f3688a8f997b64c32968905']",杭州
杭州亚运会博物馆,B0JAO7X58K,科教文化服务;博物馆;博物馆,杭州奥体中心体育场西南角B1层,,,,,,30.228256,120.229057,,"['https://aos-comment.amap.com/B0JAO7X58K/comment/content_media_external_file_100000072_1746837827124_87796264.jpg', 'https://aos-comment.amap.com/B0JAO7X58K/comment/81cdbca1ab4c8a2cf091f07603cff9e8_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0JAO7X58K/comment/content_media_external_images_media_1001131915_ss__1728699383480_92947306.jpg']",杭州
CBD公园,B0GR3AJKMC,风景名胜;公园广场;公园,之江路与庆春东路交叉口南60米,,,,,,30.25025,120.222806,,"['https://aos-comment.amap.com/B0GR3AJKMC/comment/9c872a496a7985eebb7ac8bad8b2e249_2048_2048_80.jpg', 'http://store.is.autonavi.com/showpic/cb827dc17cdc5291d84ad21205b7d695', 'https://aos-comment.amap.com/B0GR3AJKMC/comment/ec536b8a588635abf1f6bafbfd483d89_2048_2048_80.jpg']",杭州
灵隐寺,B023B02842,风景名胜;风景名胜;国家级景点,法云弄1号,,,,,,30.240826,120.101406,,"['http://store.is.autonavi.com/showpic/4aa0a6a1b6ee72c9833441f363cbb43a', 'http://store.is.autonavi.com/showpic/c7cccce2249dbb7aa013ee0b06888e9d', 'http://store.is.autonavi.com/showpic/69e2dbe5322886d53ed57057e9ab5514']",杭州
浙江省博物馆(孤山馆区),B023B06XVX,科教文化服务;博物馆;博物馆,孤山路25号,,,,,,30.251243,120.143778,,"['http://store.is.autonavi.com/showpic/9cb883411f7c9ff49fb41d3d695839ce', 'http://store.is.autonavi.com/showpic/3681e5491f4333d4140a03c4c0e24ae5', 'http://store.is.autonavi.com/showpic/143d5609fdd06f9c78ce71fd952f5323']",杭州
飞来峰,B023B05MJE,风景名胜;风景名胜;风景名胜,西湖街道灵隐街道灵隐路法云弄1号,,,,,,30.239119,120.101101,,"['http://store.is.autonavi.com/showpic/439cd2ebb79899f4b2cc53e60e061515', 'http://store.is.autonavi.com/showpic/032d501b863f6eb0ee215d5f05356016', 'http://store.is.autonavi.com/showpic/37bf504afd01036f593e3f8366148cf3']",杭州
杭州西湖风景名胜区-敕建净慈禅寺,B023B015DA,风景名胜;风景名胜;寺庙道观,南山路56号,,,,,,30.228643,120.149165,,"['http://store.is.autonavi.com/showpic/06041c3bfcfa59b0d4c6e2d97c221664', 'https://aos-comment.amap.com/B023B015DA/comment/content_media_external_images_media_1000025029_ss__1747712930049_31995934.jpg', 'http://store.is.autonavi.com/showpic/7d0d14d37c73430a55e9621e1cd9a3f9']",杭州
杭州西湖风景名胜区苏堤,B023B0AC72,风景名胜;风景名胜;风景名胜,龙井路1号杭州西湖风景名胜区内(东侧),,,,,,30.2287,120.144497,,"['http://store.is.autonavi.com/showpic/f19d171a36dfad3ba9aff4d943d15513', 'http://store.is.autonavi.com/showpic/32b9cf5444f151c2335ca8b35850fa8a', 'http://store.is.autonavi.com/showpic/624644d00b7e825a6293737c9ccb55da']",杭州
杭州西湖风景名胜区宝石山,B023B0224D,风景名胜;风景名胜;风景名胜,曙光路43附近,,,,,,30.259804,120.140608,,"['http://store.is.autonavi.com/showpic/7db7ba81102cc6c24cdf178294cd0860', 'http://store.is.autonavi.com/showpic/92931e6a88a450b077cddb570aa76035', 'http://store.is.autonavi.com/showpic/00ed729f44f8613ee1ecdb93d10370f4']",杭州
杭州西湖风景名胜区-钱王祠,B0FFFESC91,风景名胜;风景名胜;风景名胜,南山路11号,,,,,,30.242848,120.157932,,"['https://store.is.autonavi.com/showpic/39F597D26D5146AD93E0C39FB01F5E5D', 'https://store.is.autonavi.com/showpic/22847971F6B74ED6827A4596B9AF8FDF', 'http://store.is.autonavi.com/showpic/ab2561b79336da3fd1c99c2a24d541ca']",杭州
杭州西湖风景名胜区-花港观鱼,B023B023B2,风景名胜;风景名胜;风景名胜,西山路5-1号,,,,,,30.230233,120.139095,,"['http://store.is.autonavi.com/showpic/36081114b697fba22f47ac146f8fa948', 'http://store.is.autonavi.com/showpic/70ee6096dde2924a555d8bbadd355dbb', 'http://store.is.autonavi.com/showpic/cc5819e13bfff0f99143822f7760a8e8']",杭州
西子驿曲院风荷,B023B0253E,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区杨公堤38号,,,,,,30.249287,120.133333,,"['http://store.is.autonavi.com/showpic/93e5dfc496dbaf4e4982b83aaf75c3c2', 'http://store.is.autonavi.com/showpic/598b7c218125fe21e619a3a28f744e1e', 'http://store.is.autonavi.com/showpic/69cc407c57d44a1fb8b58352e32129a2']",杭州
城市阳台江堤步道,B0HB399RBD,风景名胜;风景名胜相关;旅游景点,四季青街道之江路1122号,,,,,,30.24515,120.219288,,"['https://aos-comment.amap.com/B0HB399RBD/comment/9bcf936b301debde7a2cca2c5e2ec52c_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0HB399RBD/comment/763eb71a49870b49d73a473b5469f0e5_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0HB399RBD/comment/content_media_external_file_221890_ss__1750410169010_68918901.jpg']",杭州
杭州西湖风景名胜区-三潭印月,B023B0283D,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区内(东北角),,,,,,30.238845,120.145369,,"['http://store.is.autonavi.com/showpic/51ae752f732cc261577798e7fe0a2f1a', 'http://store.is.autonavi.com/showpic/6e4552f2bb6bfd72b296f1948e553af3', 'https://store.is.autonavi.com/showpic/5880A36FB6E143BE86C71E402CE03EAC']",杭州
