name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
维也纳酒店(萧山机场店),B0FFHP9EQL,住宿服务;宾馆酒店;四星级宾馆,红山大道177号,,,,30.232039,120.397719,,"['http://store.is.autonavi.com/showpic/5c7ee93cf646dc617601e8c231d59486', 'http://store.is.autonavi.com/showpic/01802edc3db8a8b25efc70316351a8aa', 'http://store.is.autonavi.com/showpic/6e015f31013afc7d44d20e91eaf3652a']",杭州
杭崇精品酒店(杭州火车东站西广场店),B0FFGCYKVG,住宿服务;宾馆酒店;宾馆酒店,新风路与环站北路交汇处明桂北苑9幢底商5号,,,,30.295028,120.203491,,"['http://store.is.autonavi.com/showpic/981d4325d3da58a8a450a34acc11f7a1', 'http://store.is.autonavi.com/showpic/b68ea997bc0b3416263294998050788d', 'http://store.is.autonavi.com/showpic/db2ca4a21ec9576d9672049a93dcc2ae']",杭州
锦江之星(萧山国际机场店),B023B18R7X,住宿服务;宾馆酒店;经济型连锁酒店,红山大道55号,,,,30.232215,120.399536,,"['http://store.is.autonavi.com/showpic/dc478078b11ea3fd559800e693749308', 'http://store.is.autonavi.com/showpic/a78ebf575a8d86336dc810e1ae60568c', 'http://store.is.autonavi.com/showpic/221fea545f50a0e47e2f7a6dac695257']",杭州
布丁严选酒店(杭州西湖建国北路地铁站店),B023B09QGT,住宿服务;宾馆酒店;经济型连锁酒店,凤起路66号(建国北路地铁站B口步行110米),,,,30.265451,120.18223,,"['http://store.is.autonavi.com/showpic/94c3bb11d6020edc6f5d75808a3040ae', 'http://store.is.autonavi.com/showpic/bf7a8ab224acebd6994146b64e949a1f', 'http://store.is.autonavi.com/showpic/aee232dc21c83ae0efbf0215e3d469a0']",杭州
尚哈酒店,B023B14M7A,住宿服务;宾馆酒店;宾馆酒店,下沙开发区14号街东尚公寓对面,,,,30.287301,120.355447,,"['http://store.is.autonavi.com/showpic/bc6596802fd7010a6511f00cee1485a5', 'http://store.is.autonavi.com/showpic/f73069970565c0b00acb02d94f05da8b', 'http://store.is.autonavi.com/showpic/67fd8a2c5f470c4d4fd73355050328ff']",杭州
杭州帅旺快捷宾馆(城北万象城杭行路地铁站店),B0FFG8NCGL,住宿服务;宾馆酒店;宾馆酒店,好运街241-243号,,,,30.348798,120.118208,,"['http://store.is.autonavi.com/showpic/0905b75e6c99fb9063c115c61148a2fc', 'http://store.is.autonavi.com/showpic/4e31b97cfd40b3f05d5a890ec016c20f', 'http://store.is.autonavi.com/showpic/6e52c1c7cb9a0d5ae87f7c2ad7f01228']",杭州
悦胜酒店(杭州西湖大道店),B0FFG7DS4Q,住宿服务;宾馆酒店;宾馆酒店,佑圣观路145号,,,,30.244346,120.175238,,"['http://store.is.autonavi.com/showpic/ccaf98e3ed847e2b74525d2c6e9ae668', 'http://store.is.autonavi.com/showpic/0035ccd35b40694e8321acfbf133b6f2', 'http://store.is.autonavi.com/showpic/32649059e6d9665d453ffed8e2bfebe6']",杭州
如家酒店(杭州临安钱王街万华广场店),B023B14TTK,住宿服务;宾馆酒店;宾馆酒店,锦天路1571号,,,,30.221649,119.698713,,"['http://store.is.autonavi.com/showpic/402f4e9467a4cd9fe7a68f3efd5cb8ec', 'http://store.is.autonavi.com/showpic/fc8cc46454fc5b87ad73dc330061d5b5', 'http://store.is.autonavi.com/showpic/ecfc1c8570424150581266cb3be3073b']",杭州
如家商旅酒店(杭州火车东站新店),B023B1D2XW,住宿服务;宾馆酒店;经济型连锁酒店,天城路107号,,,,30.286837,120.2031,,"['http://store.is.autonavi.com/showpic/a07fbbde1ded771244ab9592cffc2dd4', 'http://store.is.autonavi.com/showpic/b40eb8f3fc9adfe3d05a5729a557198c', 'http://store.is.autonavi.com/showpic/1d01ea4a2194396a598542740865de44']",杭州
7天连锁酒店(杭州临平银泰店),B023B14VOR,住宿服务;宾馆酒店;经济型连锁酒店,临平北大街101号华轻大楼6-7层,,,,30.422414,120.302819,,"['http://store.is.autonavi.com/showpic/2144ee8f8ef8fecd988d73ca6cc9c38f', 'http://store.is.autonavi.com/showpic/a88277aba9e4c3dd5684009c8fc58760', 'http://store.is.autonavi.com/showpic/141324741a05e7276329d707c3025b1d']",杭州
唐庭酒店(杭州火车东站西广场店),B0FFGFRBQ9,住宿服务;宾馆酒店;宾馆酒店,新风路与麦庙街交口明桂南苑1幢4号(火车东站西出口),,,,30.292067,120.204074,,"['http://store.is.autonavi.com/showpic/c2c913917ad2b51d6a46a25060bd5568', 'http://store.is.autonavi.com/showpic/fbc7e0be438675d0590017f5af7bbeb4', 'http://store.is.autonavi.com/showpic/c497643ddc685275edbce589e6e4de03']",杭州
布丁严选酒店(西湖文化广场地铁站店),B023B09YT6,住宿服务;宾馆酒店;经济型连锁酒店,河东路85号(近文晖路口朝晖三区、紧靠农业银行),,,,30.283129,120.163198,,"['http://store.is.autonavi.com/showpic/5aabc8deca406747fadfc7824d2470e1', 'http://store.is.autonavi.com/showpic/25fbf044ce156a9167e1205b7d6d85d5', 'http://store.is.autonavi.com/showpic/28f7b5d13523dfe5d0c97227593e17c2']",杭州
布丁严选酒店(杭州西湖河坊街十竹斋艺术馆店),B023B13PYP,住宿服务;宾馆酒店;经济型连锁酒店,高银街58号布丁严选酒店十竹斋艺术馆店,,,,30.240774,120.170263,,"['http://store.is.autonavi.com/showpic/9c63966d45eb24b42d6e5ccabfc50513', 'http://store.is.autonavi.com/showpic/52625233b195780800ef5cecd7aa1f22', 'http://store.is.autonavi.com/showpic/9abe4ab7a11deea502c0592ddfd85b66']",杭州
如家酒店(杭州火车东站西广场店),B0FFH344KO,住宿服务;宾馆酒店;经济型连锁酒店,新风路290号,,,,30.291904,120.207287,,"['http://store.is.autonavi.com/showpic/8349dd0f4fee23f0c2825ef7c9388337', 'http://store.is.autonavi.com/showpic/d42587b4592bc88802f6e9ba920a6964', 'http://store.is.autonavi.com/showpic/8891f419b88da855e5a36d242a0b1799']",杭州
布丁酒店(杭州浙大紫金港店),B0FFF6B0YQ,住宿服务;宾馆酒店;经济型连锁酒店,申花路789号剑桥公社B座,,,,30.305625,120.093695,,"['http://store.is.autonavi.com/showpic/52b3b62089a929e6140167e5f203ee5e', 'http://store.is.autonavi.com/showpic/a9779813b060600ea2cbba4c67b7bf92', 'http://store.is.autonavi.com/showpic/a35a1f289fa9f6f2c0c6d87c491288aa']",杭州
布丁精选酒店(杭州西湖武林广场文晖大厦店),B023B14BD7,住宿服务;宾馆酒店;经济型连锁酒店,湖墅南路96号,,,,30.278191,120.156187,,"['http://store.is.autonavi.com/showpic/4969f2d7130de9ae00ad40af1ccb0b5f', 'http://store.is.autonavi.com/showpic/15da76fa424210b0957587ac1eea2771', 'http://store.is.autonavi.com/showpic/7a58c18344649d95c4e75a4fea9a7aa9']",杭州
丽都商务酒店(富春街店),B023B1DAFD,住宿服务;宾馆酒店;宾馆酒店,金桥北路358号,,,,30.061511,119.934544,,"['http://store.is.autonavi.com/showpic/42c3ec86af26c325990ac8015603361f', 'http://store.is.autonavi.com/showpic/8a72c220367efc7e86ce839614958b5e', 'http://store.is.autonavi.com/showpic/45ef93fb7b22b520bfcd16460603c8cc']",杭州
